:START_ID(CapabilityNode),:END_ID(CapabilityNode),:TYPE,domain,graph_id
L2,L1,DEPENDS_ON,mathematics,master_knowledge_graph
L2,N4,DEPENDS_ON,mathematics,master_knowledge_graph
L3,V2,DEPENDS_ON,mathematics,master_knowledge_graph
L3,L2,DEPENDS_ON,mathematics,master_knowledge_graph
L4,F3,DEPENDS_ON,mathematics,master_knowledge_graph
L4,F6,DEPENDS_ON,mathematics,master_knowledge_graph
L4,L3,DEPENDS_ON,mathematics,master_knowledge_graph
Y1,V2,DEPENDS_ON,mathematics,master_knowledge_graph
Y2,Y1,DEPENDS_ON,mathematics,master_knowledge_graph
Y2,V3,DEPENDS_ON,mathematics,master_knowledge_graph
Y3,Y1,DEPENDS_ON,mathematics,master_knowledge_graph
Y3,M8,DEPENDS_ON,mathematics,master_knowledge_graph
Y4,F3,DEPENDS_ON,mathematics,master_knowledge_graph
Y4,L4,DEPENDS_ON,mathematics,master_knowledge_graph
R1,N1,DEPENDS_ON,mathematics,master_knowledge_graph
R1,U4,DEPENDS_ON,mathematics,master_knowledge_graph
R1,M3,DEPENDS_ON,mathematics,master_knowledge_graph
R2,R1,DEPENDS_ON,mathematics,master_knowledge_graph
R3,R2,DEPENDS_ON,mathematics,master_knowledge_graph
F1,R1,DEPENDS_ON,mathematics,master_knowledge_graph
F1,R2,DEPENDS_ON,mathematics,master_knowledge_graph
F1,R3,DEPENDS_ON,mathematics,master_knowledge_graph
F2,F1,DEPENDS_ON,mathematics,master_knowledge_graph
F3,F1,DEPENDS_ON,mathematics,master_knowledge_graph
F3,F2,DEPENDS_ON,mathematics,master_knowledge_graph
F4,F1,DEPENDS_ON,mathematics,master_knowledge_graph
F4,F3,DEPENDS_ON,mathematics,master_knowledge_graph
F5,F2,DEPENDS_ON,mathematics,master_knowledge_graph
F5,F3,DEPENDS_ON,mathematics,master_knowledge_graph
F5,F4,DEPENDS_ON,mathematics,master_knowledge_graph
F5,F6,DEPENDS_ON,mathematics,master_knowledge_graph
F6,F3,DEPENDS_ON,mathematics,master_knowledge_graph
Q1,F6,DEPENDS_ON,mathematics,master_knowledge_graph
Q1,T4,DEPENDS_ON,mathematics,master_knowledge_graph
Q2,Q1,DEPENDS_ON,mathematics,master_knowledge_graph
Q2,M14,DEPENDS_ON,mathematics,master_knowledge_graph
Q3,Q2,DEPENDS_ON,mathematics,master_knowledge_graph
Q3,T4,DEPENDS_ON,mathematics,master_knowledge_graph
Q4,Q2,DEPENDS_ON,mathematics,master_knowledge_graph
Q4,F2,DEPENDS_ON,mathematics,master_knowledge_graph
Q4,V2,DEPENDS_ON,mathematics,master_knowledge_graph
S1,F3,DEPENDS_ON,mathematics,master_knowledge_graph
S2,S1,DEPENDS_ON,mathematics,master_knowledge_graph
E1,S2,DEPENDS_ON,mathematics,master_knowledge_graph
E2,E1,DEPENDS_ON,mathematics,master_knowledge_graph
E3,E2,DEPENDS_ON,mathematics,master_knowledge_graph
A1,S2,DEPENDS_ON,mathematics,master_knowledge_graph
A1,E1,DEPENDS_ON,mathematics,master_knowledge_graph
A2,A1,DEPENDS_ON,mathematics,master_knowledge_graph
A2,T6,DEPENDS_ON,mathematics,master_knowledge_graph
A3,E1,DEPENDS_ON,mathematics,master_knowledge_graph
A3,S1,DEPENDS_ON,mathematics,master_knowledge_graph
A3,L4,DEPENDS_ON,mathematics,master_knowledge_graph
A4,S1,DEPENDS_ON,mathematics,master_knowledge_graph
A4,G2,DEPENDS_ON,mathematics,master_knowledge_graph
A5,A1,DEPENDS_ON,mathematics,master_knowledge_graph
A5,A4,DEPENDS_ON,mathematics,master_knowledge_graph
A5,Q3,DEPENDS_ON,mathematics,master_knowledge_graph
J1,F5,DEPENDS_ON,mathematics,master_knowledge_graph
J1,X4,DEPENDS_ON,mathematics,master_knowledge_graph
J1,S2,DEPENDS_ON,mathematics,master_knowledge_graph
J2,J1,DEPENDS_ON,mathematics,master_knowledge_graph
J2,Q2,DEPENDS_ON,mathematics,master_knowledge_graph
J2,T4,DEPENDS_ON,mathematics,master_knowledge_graph
J3,J1,DEPENDS_ON,mathematics,master_knowledge_graph
J3,J2,DEPENDS_ON,mathematics,master_knowledge_graph
J3,S1,DEPENDS_ON,mathematics,master_knowledge_graph
J4,J3,DEPENDS_ON,mathematics,master_knowledge_graph
J4,A1,DEPENDS_ON,mathematics,master_knowledge_graph
J5,Q4,DEPENDS_ON,mathematics,master_knowledge_graph
J5,J2,DEPENDS_ON,mathematics,master_knowledge_graph
J5,M14,DEPENDS_ON,mathematics,master_knowledge_graph
J6,Q3,DEPENDS_ON,mathematics,master_knowledge_graph
J6,J5,DEPENDS_ON,mathematics,master_knowledge_graph
J6,M14,DEPENDS_ON,mathematics,master_knowledge_graph
K1,A1,DEPENDS_ON,mathematics,master_knowledge_graph
K1,A5,DEPENDS_ON,mathematics,master_knowledge_graph
K2,K1,DEPENDS_ON,mathematics,master_knowledge_graph
K2,A5,DEPENDS_ON,mathematics,master_knowledge_graph
K3,K2,DEPENDS_ON,mathematics,master_knowledge_graph
K3,Q3,DEPENDS_ON,mathematics,master_knowledge_graph
