:START_ID(Entity),:END_ID(Entity),:TYPE,domain,source_layer,mapping_status,relationship_type,artifact_type,purpose,decision_type,rule_id
capability:C3C,capability:C3D,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C4,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C4,capability:C3,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C3,capability:C4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C4,capability:H3,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H3,capability:C4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C4,capability:Q4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q4,capability:C4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C4A,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C4B,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C4B,capability:C4A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C4A,capability:C4B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C4C,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C4C,capability:C4B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C4B,capability:C4C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C4D,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C4D,capability:C4C,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C4C,capability:C4D,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C5,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C5,capability:C4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C4,capability:C5,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C5,capability:G4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G4,capability:C5,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C5,capability:Q5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q5,capability:C5,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C5A,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C5B,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C5B,capability:C5A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C5A,capability:C5B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C5C,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C5C,capability:C5B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C5B,capability:C5C,UNLOCKS,social_studies,capability_topology,,,,,,
